occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",,         21250,       3.1,         26.26,         54620,           0.7,         18.66,         22.71,         26.43,         31.00,         34.19,         38810,         47240,         54970,         64470,         71120,,
49-2096,"Electronic equipment installers and repairers, motor vehicles",,         17650,       5.0,         14.94,         31080,           2.3,          8.77,         10.39,         13.19,         17.43,         24.06,         18250,         21620,         27440,         36260,         50040,,
49-2097,Electronic home entertainment equipment installers and repairers,,         35360,       4.3,         14.83,         30840,           1.1,          8.95,         11.18,         13.91,         17.60,         21.95,         18610,         23260,         28940,         36600,         45660,,
49-2098,Security and fire alarm systems installers,,         49470,       3.7,         17.06,         35480,           1.1,         10.02,         12.49,         16.21,         20.73,         25.86,         20850,         25970,         33720,         43120,         53790,,
49-3011,Aircraft mechanics and service technicians,,        115120,       1.9,         23.68,         49260,           1.4,         14.60,         18.39,         22.74,         28.15,         35.38,         30370,         38260,         47310,         58560,         73580,,
49-3021,Automotive body and related repairers,,        158160,       1.3,         18.23,         37920,           0.8,          9.85,         12.81,         16.74,         22.08,         28.37,         20490,         26640,         34810,         45920,         59010,,
49-3022,Automotive glass installers and repairers,,         17760,       6.5,         14.67,         30510,           2.1,          8.60,         10.87,         14.18,         17.84,         21.27,         17880,         22610,         29500,         37110,         44240,,
49-3023,Automotive service technicians and mechanics,,        654800,       0.7,         16.90,         35140,           0.4,          8.90,         11.58,         15.89,         20.95,         26.45,         18500,         24090,         33050,         43580,         55020,,
49-3031,Bus and truck mechanics and diesel engine specialists,,        248280,       1.2,         17.96,         37360,           0.4,         11.44,         14.15,         17.61,         21.35,         25.74,         23790,         29420,         36620,         44410,         53540,,
49-3041,Farm equipment mechanics,,         30800,       2.4,         14.17,         29480,           0.7,          9.09,         11.02,         13.81,         16.91,         20.26,         18900,         22920,         28730,         35170,         42140,,
49-3042,"Mobile heavy equipment mechanics, except engines",,        117500,       1.5,         19.32,         40190,           0.5,         12.38,         15.36,         18.95,         22.57,         26.95,         25760,         31940,         39410,         46960,         56060,,
49-3043,Rail car repairers,,         24270,       5.0,         20.32,         42270,           1.9,         12.82,         17.28,         20.45,         24.08,         27.02,         26660,         35950,         42530,         50090,         56210,,
49-3051,Motorboat mechanics,,         18190,       4.2,         16.31,         33920,           1.3,          9.64,         12.31,         15.76,         19.89,         24.28,         20040,         25600,         32780,         41360,         50500,,
49-3052,Motorcycle mechanics,,         16140,       3.6,         15.11,         31430,           1.0,          9.00,         11.21,         14.16,         18.05,         22.71,         18730,         23330,         29450,         37540,         47240,,
49-3053,Outdoor power equipment and other small engine mechanics,,         24680,       3.7,         12.95,         26930,           0.9,          7.93,          9.84,         12.41,         15.57,         19.03,         16490,         20470,         25810,         32380,         39590,,
49-3091,Bicycle repairers,,          7980,       8.6,         10.33,         21490,           1.8,          7.00,          8.37,         10.05,         12.17,         14.19,         14550,         17420,         20910,         25320,         29520,,
49-3092,Recreational vehicle service technicians,,         13540,       5.3,         15.43,         32100,           1.6,          9.42,         11.71,         14.65,         18.60,         21.68,         19590,         24370,         30480,         38680,         45090,,
49-3093,Tire repairers and changers,,        100860,       2.4,         10.72,         22300,           0.7,          7.29,          8.42,         10.08,         12.45,         15.44,         15150,         17510,         20960,         25890,         32120,,
49-9011,Mechanical door repairers,,         14400,       8.1,         15.81,         32890,           2.0,          9.71,         11.79,         14.57,         19.09,         23.72,         20200,         24520,         30310,         39710,         49330,,
49-9012,"Control and valve installers and repairers, except mechanical door",,         38640,       3.1,         21.21,         44120,           1.2,         11.80,         15.59,         21.21,         26.06,         30.81,         24550,         32430,         44120,         54210,         64090,,
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",,        241380,       1.7,         18.64,         38770,           0.5,         11.04,         13.79,         17.81,         22.73,         27.46,         22970,         28690,         37040,         47270,         57130,,
49-9031,Home appliance repairers,,         43110,       3.6,         16.38,         34060,           1.0,          9.06,         11.95,         15.86,         20.12,         24.53,         18840,         24850,         32980,         41850,         51020,,
49-9041,Industrial machinery mechanics,,        234650,       1.0,         19.74,         41060,           0.3,         12.48,         15.38,         19.11,         23.56,         28.39,         25950,         31990,         39740,         49000,         59050,,
49-9042,"Maintenance and repair workers, general",,       1307820,       0.5,         15.70,         32650,           0.2,          8.92,         11.33,         15.01,         19.48,         24.00,         18560,         23560,         31210,         40520,         49920,,
