CIP_Code,CIP_Desc,credential_level_tags,year,avg_debt_debt_all_stgp_any_mean,avg_postgrad_earnings,avg_income_a_mean_broad_detailed,weighted_income_a_mean_by_tot_emp,avg_income_a_pct10_broad_detailed,avg_income_a_pct90_broad_detailed,sum_employment_tot_emp
1414,Environmental/Environmental Health Engineering.,Bachelor's Degree,2017,23899,48875,109872,127111,60578,152427,296260
1414,Environmental/Environmental Health Engineering.,Bachelor's Degree,2018,24416,52999,112230,130074,62102,156483,305120
1414,Environmental/Environmental Health Engineering.,Bachelor's Degree,2019,22780,57314,113518,133223,63380,157223,309340
1414,Environmental/Environmental Health Engineering.,Bachelor's Degree,2020,22364,,116612,137951,65398,159483,308460
1418,Materials Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2016,22111,,103758,101896,56458,159012,457800
1418,Materials Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,20760,61100,105788,104395,58102,146487,455590
1418,Materials Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2018,20132,61924,107322,106982,59308,148480,464350
1418,Materials Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,20970,67467,108570,109944,60565,148677,467150
1418,Materials Engineering.,Bachelor's Degree,2020,21904,,111435,114283,62275,152560,458520
1419,Mechanical Engineering.,Associate's Degree|Bachelor's Degree,2016,23932,,103958,98542,58906,155770,785300
1419,Mechanical Engineering.,Associate's Degree|Bachelor's Degree,2017,23831,61636,106268,100726,60296,146402,785440
1419,Mechanical Engineering.,Associate's Degree|Bachelor's Degree,2018,23778,65160,108452,102775,61606,149522,804820
1419,Mechanical Engineering.,Associate's Degree|Bachelor's Degree,2019,23611,64704,109830,104853,62900,150428,810520
1419,Mechanical Engineering.,Associate's Degree|Bachelor's Degree,2020,23251,,112372,108258,64462,153905,788370
1420,Metallurgical Engineering.,Bachelor's Degree,2016,21819,,116137,133026,63320,177600,243190
1420,Metallurgical Engineering.,Bachelor's Degree,2017,21431,66000,118243,135402,65137,166725,244690
1420,Metallurgical Engineering.,Bachelor's Degree,2018,21965,62189,119860,138185,66390,168750,252750
1420,Metallurgical Engineering.,Bachelor's Degree,2019,25626,61588,120977,141462,67627,167340,257150
1420,Metallurgical Engineering.,Bachelor's Degree,2020,22624,,124260,146071,69573,171660,259160
1421,Mining and Mineral Engineering.,Associate's Degree|Bachelor's Degree,2016,22007,,118123,136410,63527,181490,223330
1421,Mining and Mineral Engineering.,Associate's Degree|Bachelor's Degree,2017,21638,78333,119943,139005,64343,171955,223640
1421,Mining and Mineral Engineering.,Bachelor's Degree,2018,24188,73282,120357,141990,65537,170210,231600
1421,Mining and Mineral Engineering.,Bachelor's Degree,2019,29142,57766,120677,145221,65900,168475,236610
1421,Mining and Mineral Engineering.,Bachelor's Degree,2020,22646,,124123,149553,69263,172625,240690
1422,Naval Architecture and Marine Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2016,19656,,117073,136121,64557,178803,224510
1422,Naval Architecture and Marine Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,20261,86900,117677,137936,67437,164570,228450
1422,Naval Architecture and Marine Engineering.,Bachelor's Degree,2018,22743,79818,120540,140993,69050,169170,237170
1422,Naval Architecture and Marine Engineering.,Bachelor's Degree,2019,23400,77223,121257,144289,70327,166715,241690
1422,Naval Architecture and Marine Engineering.,Bachelor's Degree,2020,24218,,123940,149040,71120,168780,243120
1423,Nuclear Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2016,22194,,119103,135100,66887,178793,234070
1423,Nuclear Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,26581,61933,121677,137786,68243,171460,234190
1423,Nuclear Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2018,24645,65102,124480,140969,70207,175875,241800
1423,Nuclear Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,21712,65394,128580,144872,72467,182575,246180
1423,Nuclear Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2020,23118,,132453,149259,75183,187265,250120
1424,Ocean Engineering.,Bachelor's Degree,2017,28304,,118477,124670,62983,169155,348990
1424,Ocean Engineering.,Bachelor's Degree,2018,25464,62340,120687,126234,64270,172520,367850
1424,Ocean Engineering.,Bachelor's Degree,2019,22412,62166,122500,128989,66423,172275,382670
1424,Ocean Engineering.,Bachelor's Degree,2020,21780,,126430,133614,68703,177515,386800
1425,Petroleum Engineering.,Bachelor's Degree,2016,28062,,132797,138738,69363,191980,249170
1425,Petroleum Engineering.,Bachelor's Degree,2017,27980,66836,136967,141899,70910,183590,249500
1425,Petroleum Engineering.,Bachelor's Degree,2018,27518,77087,139673,144774,72110,189390,258330
1425,Petroleum Engineering.,Bachelor's Degree,2019,25967,80690,140607,147807,74937,185720,262950
1425,Petroleum Engineering.,Bachelor's Degree,2020,24798,,142187,151242,76457,188980,262270
1427,Systems Engineering.,Bachelor's Degree|Post-baccalaureate Certificate,2016,20901,,109785,108511,60432,166580,596330
1427,Systems Engineering.,Bachelor's Degree|Post-baccalaureate Certificate,2017,20803,65467,111442,109837,61045,156413,614510
1427,Systems Engineering.,Bachelor's Degree,2018,21351,62951,113422,111292,62320,159127,647400
1427,Systems Engineering.,Bachelor's Degree,2019,21578,59616,115040,113275,64140,159540,674380
1427,Systems Engineering.,Bachelor's Degree,2020,21332,,118225,116466,66015,163987,676990
1428,Textile Sciences and Engineering.,Bachelor's Degree,2017,21675,42400,118243,135402,65137,166725,244690
1428,Textile Sciences and Engineering.,Bachelor's Degree,2018,21969,44431,119860,138185,66390,168750,252750
1428,Textile Sciences and Engineering.,Bachelor's Degree,2019,22418,45374,120977,141462,67627,167340,257150
1432,Polymer/Plastics Engineering.,Bachelor's Degree,2017,23967,,116790,132636,64410,167510,278190
1432,Polymer/Plastics Engineering.,Bachelor's Degree,2018,23698,63708,118512,135516,66015,169090,284810
1432,Polymer/Plastics Engineering.,Bachelor's Degree,2019,24193,61074,120005,138907,67422,170257,287270
1433,Construction Engineering.,Bachelor's Degree,2016,25982,,101392,97505,55400,154612,842190
1433,Construction Engineering.,Bachelor's Degree,2017,26603,65400,103128,99412,56020,145608,858800
1433,Construction Engineering.,Bachelor's Degree,2018,27931,73100,105098,101490,57130,148885,885480
1433,Construction Engineering.,Bachelor's Degree,2019,25728,76592,106642,103679,58806,150115,903520
1433,Construction Engineering.,Bachelor's Degree,2020,25129,,109538,107034,60530,153550,887010
1434,Forest Engineering.,Bachelor's Degree,2017,24836,48800,118477,124670,62983,169155,348990
1434,Forest Engineering.,Bachelor's Degree,2018,25621,53796,120687,126234,64270,172520,367850
1434,Forest Engineering.,Bachelor's Degree,2020,24322,,126430,133614,68703,177515,386800
1435,Industrial Engineering.,Bachelor's Degree,2016,24839,,111738,109912,61942,169700,641340
1435,Industrial Engineering.,Bachelor's Degree,2017,24034,64462,114260,112146,63730,161100,654530
1435,Industrial Engineering.,Bachelor's Degree,2018,24811,66356,116912,114298,65500,164627,686680
1435,Industrial Engineering.,Bachelor's Degree,2019,25184,66755,118202,116084,66970,165287,707830
1435,Industrial Engineering.,Bachelor's Degree,2020,23653,,121008,118941,68950,169043,704180
1436,Manufacturing Engineering.,Bachelor's Degree,2016,24442,,101152,97425,55520,153914,810940
1436,Manufacturing Engineering.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,25336,61200,102838,99254,56236,143812,825410
1436,Manufacturing Engineering.,Bachelor's Degree,2018,30183,67089,104680,101049,57468,146330,859000
1436,Manufacturing Engineering.,Bachelor's Degree,2019,25988,64653,106302,103319,59188,147492,884380
1436,Manufacturing Engineering.,Bachelor's Degree,2020,23980,,109172,106569,60888,151580,876350
1437,Operations Research.,Bachelor's Degree,2016,14368,,109327,102752,53137,154610,201930
1437,Operations Research.,Bachelor's Degree,2017,15445,79000,110003,104158,52543,159030,199760
1437,Operations Research.,Bachelor's Degree,2018,14703,95537,113903,108370,54750,162820,201990
1437,Operations Research.,Bachelor's Degree,2019,18326,66658,116053,112669,55917,163255,203480
1437,Operations Research.,Bachelor's Degree,2020,17656,,120447,118845,58297,166655,210610
1438,Surveying Engineering.,Bachelor's Degree,2018,27574,58520,99368,118339,53786,137165,424210
1438,Surveying Engineering.,Bachelor's Degree,2019,27459,52230,101042,121178,55410,138195,439190
1439,Geological/Geophysical Engineering.,Bachelor's Degree,2016,27050,,113405,123186,60788,174360,346720
1439,Geological/Geophysical Engineering.,Bachelor's Degree,2017,26088,,114785,124307,60912,166210,355140
1439,Geological/Geophysical Engineering.,Bachelor's Degree,2019,25289,60937,116122,128473,62858,165260,388950
1439,Geological/Geophysical Engineering.,Bachelor's Degree,2020,24333,,119858,133080,65788,170433,393070
1442,"Mechatronics, Robotics, and Automation Engineering.",Associate's Degree|Bachelor's Degree,2016,22646,,116870,123598,62553,178977,339780
1442,"Mechatronics, Robotics, and Automation Engineering.",Associate's Degree|Bachelor's Degree,2017,21832,,118477,124670,62983,169155,348990
1442,"Mechatronics, Robotics, and Automation Engineering.",Bachelor's Degree,2018,20655,72052,120687,126234,64270,172520,367850
1442,"Mechatronics, Robotics, and Automation Engineering.",Associate's Degree|Bachelor's Degree,2019,16324,61507,122500,128989,66423,172275,382670
1442,"Mechatronics, Robotics, and Automation Engineering.",Associate's Degree|Bachelor's Degree,2020,19409,,126430,133614,68703,177515,386800
1443,Biochemical Engineering.,Bachelor's Degree,2016,23595,,114008,122034,62108,173932,371770
1443,Biochemical Engineering.,Bachelor's Degree,2017,24838,,116965,123598,62795,169130,382490
1443,Biochemical Engineering.,Bachelor's Degree,2018,21552,58152,119132,125291,64425,171603,399910
1443,Biochemical Engineering.,Bachelor's Degree,2019,21330,48106,121148,128121,66520,173547,412790
1443,Biochemical Engineering.,Bachelor's Degree,2020,18011,,123528,132440,68635,174663,412570
1445,Biological/Biosystems Engineering.,Bachelor's Degree,2016,22786,,110145,121676,59678,167888,360370
1445,Biological/Biosystems Engineering.,Bachelor's Degree,2017,21368,43200,112100,122944,60255,160307,369090
1445,Biological/Biosystems Engineering.,Bachelor's Degree,2018,20509,47690,114288,124707,61175,163130,386820
1445,Biological/Biosystems Engineering.,Bachelor's Degree,2019,18971,55268,116148,127421,63638,164253,402450
1445,Biological/Biosystems Engineering.,Bachelor's Degree,2020,17743,,119408,131991,65675,168157,405460
1499,"Engineering, Other.",Bachelor's Degree,2016,22840,,110200,121273,59560,167760,365190
1499,"Engineering, Other.",Associate's Degree|Bachelor's Degree,2017,20965,61200,111905,122408,60192,159313,375120
1499,"Engineering, Other.",Bachelor's Degree,2018,30071,67830,113922,124064,61495,162670,394080
1499,"Engineering, Other.",Bachelor's Degree,2019,26448,64285,115578,126826,63230,162810,408530
1499,"Engineering, Other.",Bachelor's Degree,2020,25651,,119155,131512,65375,166610,410580
1500,Applied Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,21886,,60828,60104,35635,89828,370210
1500,Applied Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,21878,49724,61847,61163,36393,91357,366160
1500,Applied Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,22210,51357,62252,62036,37023,91828,371630
1500,Applied Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,21792,52692,62176,61863,37424,91710,284360
1500,Applied Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21910,,63660,63280,38340,93692,270580
1501,Architectural Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,20168,,56820,56627,33120,84077,243250
1501,Architectural Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,18956,51440,57753,57632,33773,85240,244020
1501,Architectural Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree,2018,18893,53197,59030,59109,34810,86400,252120
1501,Architectural Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree,2019,20355,48933,56780,57012,34885,81440,167670
1501,Architectural Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree,2020,18830,,57855,58098,35410,83350,166450
1502,Civil Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree,2016,18263,,50385,51837,29140,77110,78560
1502,Civil Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,19819,53375,51445,53216,30050,77545,78410
1502,Civil Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree,2018,21422,52787,52685,54301,31520,79335,78440
1502,Civil Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree,2019,21525,55114,54035,55197,32350,81440,76340
1502,Civil Engineering Technologies/Technicians.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21800,,54865,56247,33190,83055,74700
1503,Audio Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,30945,,65586,64361,37187,98911,299860
1503,Audio Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,22018,43863,67049,65674,38073,101109,293570
1503,Audio Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,22239,50454,66846,66194,38661,100704,295330
1503,Audio Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,22594,53629,68348,67655,39230,103115,208060
1503,Audio Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21354,,69645,69458,40045,104927,197290
1504,Automation Engineer Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,20864,,59288,61070,33987,88282,304630
1504,Automation Engineer Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,19722,48013,60360,62087,34717,90175,299740
1504,Automation Engineer Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,19854,51729,61030,62849,35373,90817,305980
1504,Automation Engineer Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,19455,51862,61290,62771,35890,91690,217920
1504,Automation Engineer Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,19249,,62884,64349,36780,93620,210060
1505,"Environmental Control Technologies/Technicians, Other.",Associate's Degree|Undergraduate Certificate or Diploma,2016,15630,,51660,50277,29426,79474,545690
1505,"Environmental Control Technologies/Technicians, Other.",Associate's Degree|Undergraduate Certificate or Diploma,2017,14704,29240,52462,51200,30060,80506,561990
1505,"Environmental Control Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,15070,32741,53444,52114,30834,81958,592630
1505,"Environmental Control Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,15647,35277,51030,50993,30042,78762,560640
1505,"Environmental Control Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,13756,,52400,52705,30872,81054,556340
1506,Chemical Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,22953,,52852,50062,31540,77934,679540
1506,Chemical Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,19015,49957,53784,51056,31982,79642,670760
1506,Chemical Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,18594,50769,54760,51956,32768,80906,691770
1506,Chemical Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,18715,53768,53195,50673,32855,78228,628090
1506,Chemical Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,18582,,55032,52094,33920,80820,606880
1507,Hazardous Materials Information Systems Technology/Technician.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2016,21492,,49920,42427,28407,76933,598720
1507,Hazardous Materials Information Systems Technology/Technician.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2017,20463,52382,50820,43155,29337,77760,620110
1507,Hazardous Materials Information Systems Technology/Technician.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2018,21129,55807,51890,44103,30283,78883,641360
1507,Hazardous Materials Information Systems Technology/Technician.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2019,22166,53732,57980,49033,33916,87566,775430
1507,Hazardous Materials Information Systems Technology/Technician.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2020,21576,,59410,50834,34736,89096,746160
1508,Aeronautical/Aerospace Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,20777,,55700,45955,32283,82486,876750
1508,Aeronautical/Aerospace Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,21239,51540,56531,47036,32919,84017,863830
1508,Aeronautical/Aerospace Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,21939,52778,56891,48005,33449,84430,874950
1508,Aeronautical/Aerospace Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,21831,53566,56292,47317,33305,84383,802130
1508,Aeronautical/Aerospace Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,22989,,58017,49129,34492,86782,757110
1509,Mining Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,15867,,61850,61200,36993,90253,134530
1509,Mining Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,15948,36400,62507,61768,37840,91043,130790
1509,Mining Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,15942,51096,63323,61934,38127,92657,147690
1509,Mining Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,17055,56458,61220,55671,38005,89585,66170
1509,Mining Technology/Technician.,Associate's Degree|Undergraduate Certificate or Diploma,2020,14150,,62900,57805,37945,92760,58830
1510,Construction Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,23145,,72750,79977,40237,113027,536410
1510,Construction Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,22117,61269,74340,82208,41343,114743,545810
1510,Construction Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,21450,64174,75830,84376,42197,116350,561210
1510,Construction Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,21562,62310,77277,86692,43133,118930,572250
1510,Construction Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,22650,,78937,88706,43830,122130,552270
1511,"Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2016,20233,,58462,58074,33383,88315,244690
1511,"Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2017,21215,55300,59293,59108,33900,89327,242080
1511,"Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2018,20635,59073,60112,60242,34583,90310,248060
1511,"Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2019,19856,54126,60042,58488,34956,90498,166970
1511,"Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2020,19017,,61972,60282,36016,93974,163410
1512,"Computer Engineering Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,23740,,63500,63341,35770,93800,209160
1512,"Computer Engineering Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,21562,36110,64420,64387,36225,95540,204950
1512,"Computer Engineering Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,21504,40319,65385,65316,37115,96930,210310
1512,"Computer Engineering Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,22951,40775,79425,82577,44670,118470,322090
1512,"Computer Engineering Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,24243,,81975,84903,45805,122930,293410
1513,3-D Modeling and Design Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24290,,57392,56501,34005,86048,202720
1513,3-D Modeling and Design Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,17660,37936,57742,57075,34375,86502,195510
1513,3-D Modeling and Design Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,17859,42046,58588,58178,35100,87095,193260
1513,3-D Modeling and Design Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,16623,41988,59785,59485,35865,88830,192750
1513,3-D Modeling and Design Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,17357,,60715,60390,36202,90112,187670
1514,Nuclear Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree,2016,15233,,70935,65211,40270,101455,81130
1514,Nuclear Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree,2017,16613,89100,72275,65818,41570,104830,83480
1514,Nuclear Engineering Technology/Technician.,Bachelor's Degree,2018,13097,89530,72845,66857,42970,106695,90590
1514,Nuclear Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree,2019,14836,84153,82710,82710,52860,117480,6420
1514,Nuclear Engineering Technology/Technician.,Associate's Degree|Bachelor's Degree,2020,17621,,83810,83810,53570,116680,6160
1515,Engineering Design.,Bachelor's Degree,2016,26964,,90227,95459,47882,138882,1128970
1515,Engineering Design.,Associate's Degree|Bachelor's Degree,2017,25462,57929,91542,97106,48012,132638,1148200
1515,Engineering Design.,Associate's Degree|Bachelor's Degree,2018,26532,58623,93340,99132,49990,135140,1195560
1515,Engineering Design.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,25869,61296,98651,103699,53611,143091,1161370
1515,Engineering Design.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2020,26907,,101716,107457,54825,147867,1144380
1517,"Energy Systems Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,18295,,63355,67232,38700,89825,177670
1517,"Energy Systems Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,17079,,64753,68286,39290,92067,179870
1517,"Energy Systems Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,16575,47947,66538,69533,40443,94268,187990
1517,"Energy Systems Technologies/Technicians, Other.",Associate's Degree,2019,18729,45799,67604,73393,42296,94794,106080
1517,"Energy Systems Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,16519,,69738,75504,43542,97640,103480
1599,"Engineering/Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2016,19402,,,,,,
1599,"Engineering/Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2017,20092,43620,,,,,
1599,"Engineering/Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2018,20296,51267,,,,,
1599,"Engineering/Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2019,21446,51908,,,,,
1599,"Engineering/Engineering-Related Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree,2020,20971,,,,,,
1601,Applied Linguistics.,Bachelor's Degree|Undergraduate Certificate or Diploma,2016,21052,,68686,62754,35994,110440,1190970
1601,Applied Linguistics.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,21804,24906,70298,64109,37622,113102,1212250
1601,Applied Linguistics.,Associate's Degree|Bachelor's Degree,2018,22539,27809,72526,65603,38734,117410,1238190
1601,Applied Linguistics.,Associate's Degree|Bachelor's Degree,2019,21143,26509,74194,67182,40004,119284,1221200
1601,Applied Linguistics.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21281,,75702,68630,41182,121808,1170080
1603,Chinese Language and Literature.,Bachelor's Degree|Undergraduate Certificate or Diploma,2016,20956,,62143,61265,32920,100503,1083320
1603,Chinese Language and Literature.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,20839,24890,63533,62651,34253,102217,1107620
1603,Chinese Language and Literature.,Bachelor's Degree,2018,19633,29653,66243,64215,35293,108657,1134300
1603,Chinese Language and Literature.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,20845,29395,67700,65777,36413,109820,1119580
1603,Chinese Language and Literature.,Bachelor's Degree|Undergraduate Certificate or Diploma,2020,19983,,68630,67129,37347,111470,1070710
1604,Albanian Language and Literature.,Bachelor's Degree,2016,21646,,62143,61265,32920,100503,1083320
1604,Albanian Language and Literature.,Bachelor's Degree,2017,23878,,63533,62651,34253,102217,1107620
1604,Albanian Language and Literature.,Bachelor's Degree,2018,21247,31982,66243,64215,35293,108657,1134300
1604,Albanian Language and Literature.,Bachelor's Degree,2019,18044,38150,67700,65777,36413,109820,1119580
1604,Albanian Language and Literature.,Bachelor's Degree,2020,16357,,68630,67129,37347,111470,1070710
1605,Danish Language and Literature.,Bachelor's Degree,2016,21721,,62143,61265,32920,100503,1083320
1605,Danish Language and Literature.,Bachelor's Degree,2017,20630,23800,63533,62651,34253,102217,1107620
1605,Danish Language and Literature.,Bachelor's Degree,2018,22523,,66243,64215,35293,108657,1134300
1605,Danish Language and Literature.,Bachelor's Degree,2019,21832,21743,67700,65777,36413,109820,1119580
1605,Danish Language and Literature.,Bachelor's Degree,2020,19360,,68630,67129,37347,111470,1070710
1609,Catalan Language and Literature.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2016,21756,,62143,61265,32920,100503,1083320
1609,Catalan Language and Literature.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2017,21464,29500,63533,62651,34253,102217,1107620
1609,Catalan Language and Literature.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,21045,31773,66243,64215,35293,108657,1134300
1609,Catalan Language and Literature.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,20869,30718,67700,65777,36413,109820,1119580
1609,Catalan Language and Literature.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,20624,,68630,67129,37347,111470,1070710
1611,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Bachelor's Degree,2016,15253,,62143,61265,32920,100503,1083320
1611,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Bachelor's Degree,2017,19604,,63533,62651,34253,102217,1107620
1611,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Bachelor's Degree,2018,19836,37664,66243,64215,35293,108657,1134300
1611,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Bachelor's Degree,2019,18429,49793,67700,65777,36413,109820,1119580
1611,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Bachelor's Degree,2020,14870,,68630,67129,37347,111470,1070710
